death_year life_span
1840	43.11
1841	44.5
1842	44.5
1843	45.3
1844	45.03
1845	44.5
1846	46.43
1847	43.4
1848	43.26
1849	46.32
1850	47.7
1851	47.94
1852	46.89
1853	46.44
1854	49.92
1855	48.53
1856	48.71
1857	48.7
1858	49.93
1859	48.47
1860	48.52
1861	47.09
1862	47.09
1863	47.09
1864	47.52
1865	48.87
1866	48.27
1867	47.09
1868	47.09
1869	47.46
1870	49.6
1871	49.6
1872	49.6
1873	48.16
1874	47.09
1875	47.09
1876	51.99
1877	48.32
1878	50.41
1879	52
1880	54.44
1881	54.44
1882	54.44
1883	54.44
1884	54.44
1885	54.44
1886	54.44
1887	54.44
1888	54.44
1889	54.44
1890	54.44
1891	55.29
1892	55.29
1893	55.29
1894	55.29
1895	55.29
1896	57.37
1897	57.37
1898	57.37
1899	57.37
1900	57.37
1901	58.09
1902	58.09
1903	58.09
1904	58.09
1905	58.09
1906	59.17
1907	59.17
1908	59.17
1909	59.17
1910	59.17
1911	60.96
1912	60.96
1913	60.96
1914	60.96
1915	60.96
1916	57.09
1917	57.63
1918	55.8
1919	56.69
1920	59.15
1921	62.58
1922	63.07
1923	62.59
1924	63.76
1925	64.07
1926	63.38
1927	64.03
1928	64.11
1929	63.69
1930	64.32
1931	65.05
1932	66.28
1933	66.2
1934	65.83
1935	66.34
1936	66.05
1937	66.19
1938	66.5
1939	66.9
1940	66.15
1941	66.1
1942	67.56
1943	67.32
1944	66.58
1945	67.13
1946	68.34
1947	68.32
1948	69.71
1949	69.96
1950	70.29
1951	70.75
1952	71.03
1953	71.23
1954	71.34
1955	71.56
1956	71.46
1957	71.59
1958	71.52
1959	71.56
1960	71.39
1961	71.64
1962	71.36
1963	71.53
1964	71.61
1965	71.7
1966	71.82
1967	71.83
1968	71.73
1969	71.73
1970	72.25
1971	72
1972	72.24
1973	72.19
1974	72.53
1975	72.37
1976	74.07
1977	73.52
1978	73.88
1979	74.25
1980	73.59
1981	73.8
1982	74.76
1983	74.2
1984	74.91
1985	75.11
1986	75.43
1987	75.6
1988	75.5
1989	76.23
1990	75.9
1991	76.11
1992	76.85
1993	77.19
1994	77.15
1995	76.72
1996	77
1997	77.2
1998	77.9
1999	77.8
2000	77.64
